Organization,Organization Name URL,Categories,Headquarters,Regions,Founded,Date_Period,ExitDate,ExitDatePrecision,LastFundingDate,LastFundingAmount,LastFundingAmountCurrency,LastFundingAmountUSD,LastFundingType,LastEquityFundingAmount,LastEquityFundingAmountCurrency,LastEquityFundingAmountUSD,FundingStatus,Top5Investors,NumberInvestors
Cyberbit,https://www.crunchbase.com/organization/cyberbit,"Cyber Security, Information Technology, Network Security","Ra'anana, HaMerkaz, Israel",,2015-03-01,month,2015-05-21,day,2018-06-04,30000000,USD,30000000,Venture - Series Unknown,30000000,USD,30000000,M&A,Claridge Israel,1
Luminate Security,https://www.crunchbase.com/organization/luminate-security,"Cloud Security, Cyber Security, Network Security, Software","Palo Alto, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2017-01-01,year,2019-02-12,day,2018-03-14,11000000,USD,11000000,Series A,11000000,USD,11000000,M&A,"Aleph, U.S. Venture Partners (USVP)",2
Olympus Sky Technologies,https://www.crunchbase.com/organization/olympus-sky,"Aerospace, Automotive, Cyber Security, Industrial, Industrial Automation, Industrial Manufacturing, Internet of Things, Network Hardware, Network Security","Lodz, Lodzkie, Poland",European Union (EU),2014-11-01,day,,,2018-01-01,1000000,PLN,287522,Seed,1000000,PLN,287522,Seed,"Akcelerator Technologiczny Gliwice Sp. z o.o., Giza Polish Ventures (GPV), Trigon TFI SA",3
Incident Response Technologies,https://www.crunchbase.com/organization/incident-response-technologies,"Infrastructure, Public Safety, Security","Greenwood Village, Colorado, United States","Greater Denver Area, Western US",,,,,2018-01-25,1200000,USD,1200000,Seed,1200000,USD,1200000,Seed,"Innosphere, Innosphere Fund, Lighter Capital, Stout Street Capital",4
Blue Sentry,https://www.crunchbase.com/organization/blue-sentry,"Cloud Computing, Cyber Security, SaaS","Greensboro, North Carolina, United States","East Coast, Southern US",2014-05-01,day,,,2018-06-15,258767,USD,258767,Debt Financing,300000,USD,300000,Seed,Lighter Capital,1
Untethered Labs,https://www.crunchbase.com/organization/untethered-labs,"Cyber Security, Identity Management, Information Technology, Security, Software, Wireless","College Park, Maryland, United States","Washington DC Metro Area, East Coast, Southern US",2015-01-01,year,,,2018-06-19,483372,USD,483372,Series A,483372,USD,483372,Early Stage Venture,"Jumpstart New Jersey Angel Network, TEDCO",2
Authoreon.io,https://www.crunchbase.com/organization/authoreon,"Blockchain, Cyber Security, Ethereum, Identity Management, Supply Chain Management","Munich, Bayern, Germany",European Union (EU),2017-03-06,day,,,2017-08-05,1250000,USD,1250000,Initial Coin Offering,1250000,USD,1250000,,,
Kalepso,https://www.crunchbase.com/organization/kalepso,"Big Data, Cyber Security, Database, Information Services, Information Technology, Machine Learning, Privacy","Montréal, Quebec, Canada",,2017-01-01,year,,,2017-10-01,800000,CAD,640959,Pre-Seed,800000,CAD,640959,Seed,TandemLaunch,1
Forticode,https://www.crunchbase.com/organization/forticode,"Information Technology, Network Security, Security","Melbourne, Victoria, Australia","Asia-Pacific (APAC), Australasia",2013-01-01,year,,,2018-03-05,1300000,USD,1300000,Venture - Series Unknown,1300000,USD,1300000,,Pronto Software,1
XCloud Networks,https://www.crunchbase.com/organization/xcloud-networks,"Data Center Automation, Innovation Management, Network Security, SaaS","Santa Clara, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2016-01-03,day,,,2018-01-11,560000,USD,560000,Seed,560000,USD,560000,Seed,"Granatus Ventures, HI Cisco, Hrachya Aghajanyan, Nucleus Investments, SmartGateVC",6
Verifyoo,https://www.crunchbase.com/organization/verifyoo,"Biometrics, Cyber Security","Tel Aviv, Tel Aviv, Israel",,2015-10-23,day,,,2017-09-01,460000,USD,460000,Seed,460000,USD,460000,Seed,,
SpeakIn,https://www.crunchbase.com/organization/speakin,"Artificial Intelligence, Audio, Cyber Security, Internet, Robotics","Shenzhen, Guangdong, China",Asia-Pacific (APAC),2015-01-01,year,,,2018-05-28,100000000,CNY,15627480,Series B,100000000,CNY,15627480,Early Stage Venture,"Fuyu (Shanghai) Investment Management, Hongzhi Capital, IDG Capital, Origins Capital",4
Advanced Protection Systems,https://www.crunchbase.com/organization/advanced-protection-systems-sp-z-o-o,"Drone Management, Drones, Hardware, Homeland Security, Physical Security, Security","Gdynia, Pomorskie, Poland",European Union (EU),2015-08-15,day,,,2017-12-01,45000,EUR,53518,Grant,250000,USD,250000,Seed,Space3ac,1
Galaxkey,https://www.crunchbase.com/organization/galaxkey,"Collaboration, Cyber Security, Email, File Sharing, Information Technology, Security","Welwyn Garden City, Hertford, United Kingdom",European Union (EU),2010-10-01,month,,,2017-12-01,2500000,GBP,3368409,Undisclosed,2500000,GBP,3368409,,"CyLon, Pitch@Palace",2
inBay Technologies,https://www.crunchbase.com/organization/inbay-technologies,"Computer, Information Technology, Internet, Network Security","Ottawa, Ontario, Canada",Great Lakes,2009-01-01,year,,,2018-02-14,1000000,USD,1000000,Seed,1000000,USD,1000000,Seed,"Global Alliance, Ramphastos Investments N.V., Tongda One Partners",3
Cardsmobile,https://www.crunchbase.com/organization/cardsmobile,"Loyalty Programs, Mobile Apps, NFC, Security, Wireless","Saint Petersburg, Saint Petersburg City, Russian Federation",,2012-01-01,year,,,2018-05-15,,,,Seed,,,,Seed,"Alfa-Bank, LANIT",2
KYND,https://www.crunchbase.com/organization/kynd,"Computer, Cyber Security, Network Security, Software","London, England, United Kingdom",European Union (EU),,,,,2018-03-12,1200000,GBP,1668597,Venture - Series Unknown,1200000,GBP,1668597,,CPP Group PLC.,1
Clearway Group,https://www.crunchbase.com/organization/clearway-group,"Homeland Security, Security","Dartford, Kent, United Kingdom",European Union (EU),1995-01-01,year,,,2018-04-25,23000000,GBP,32052488,Private Equity,23000000,GBP,32052488,Private Equity,"Business Growth Fund, Santander UK",2
seald,https://www.crunchbase.com/organization/seald,"Computer, Cyber Security, Network Security","Paris, Ile-de-France, France",European Union (EU),2016-01-01,year,,,2017-12-13,800000,EUR,946951,Seed,800000,EUR,946951,Seed,"50 Partners, Bpifrance, Damien Guermonprez, The Refiners",4
Deep Sentinel,https://www.crunchbase.com/organization/deep-sentinel,"Home Improvement, Home Services, Security","Pleasanton, California, United States","San Francisco Bay Area, West Coast, Western US",2016-01-01,year,,,2018-04-09,,,,Series A,,,,Early Stage Venture,"Basis Set Ventures, Bezos Expeditions, Lux Capital, Shasta Ventures, UP2398",5
Regulus Cyber,https://www.crunchbase.com/organization/regulus-cyber,"Autonomous Vehicles, Computer, Drones, Enterprise, Security, Software","Haifa, Hefa, Israel",,2016-01-01,year,,,2018-04-26,5100000,USD,5100000,Series A,5100000,USD,5100000,Early Stage Venture,"Canaan Partners Israel, F2 Capital, Sierra Ventures, Technion - Israel Institute of Technology, The Junction",5
AppsCo Inc,https://www.crunchbase.com/organization/appsco,"Blockchain, Cloud Computing, Cyber Security, Identity Management, Internet of Things, SaaS, Security, Software","St Louis, Missouri, United States",Midwestern US,2017-02-14,day,,,2018-01-01,,,,Seed,,,,Seed,"Frode Stenberg, Geir Karlsen, Johannes Lindberg, SixThirty CYBER, Torgeir Brovold",6
Groupdolists,https://www.crunchbase.com/organization/groupdolists,"Security, Software","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",2012-01-01,year,,,2018-01-25,1500000,USD,1500000,Seed,1500000,USD,1500000,Seed,"Bruce Blythe, Responder Ventures, Selig Zises",3
Phosphorus,https://www.crunchbase.com/organization/phosphorus-2,"Business Information Systems, Cyber Security, Internet of Things","Carlsbad, California, United States","Greater San Diego Area, West Coast, Western US",2017-01-01,year,,,2017-08-01,1000000,USD,1000000,Seed,1000000,USD,1000000,Seed,,
Dominode,https://www.crunchbase.com/organization/dominode,"Blockchain, Identity Management, Information Technology, Mobile, Mobile Apps, Privacy","Boca Raton, Florida, United States","Greater Miami Area, East Coast, Southern US",2017-07-19,day,,,2018-01-26,1300000,USD,1300000,Angel,1300000,USD,1300000,Seed,Blockchain Ventures Corp,1
AppGuard,https://www.crunchbase.com/organization/appguard,"Computer, Cyber Security, Information Technology, Network Security, Software","Chantilly, Virginia, United States","Washington DC Metro Area, East Coast, Southern US",2011-01-01,year,,,2017-09-14,30000000,USD,30000000,Series B,30000000,USD,30000000,Early Stage Venture,"ANA Holdings, Blue Planet-works, JTB Corp.",3
UnifyID,https://www.crunchbase.com/organization/unifyid,"Enterprise Software, Identity Management, Information Technology, Machine Learning","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2015-03-01,month,,,2017-08-01,20000000,USD,20000000,Series A,20000000,USD,20000000,Early Stage Venture,"Accomplice, Andreessen Horowitz, New Enterprise Associates, StartX (Stanford-StartX Fund)",4
Rencore,https://www.crunchbase.com/organization/rencore,"B2B, Cloud Security, Cyber Security, Enterprise Applications, SaaS, Security, Software","Munich, Bayern, Germany",European Union (EU),2013-06-15,day,,,2018-01-15,1500000,EUR,1840018,Seed,1500000,EUR,1840018,Seed,,
Risk Ledger,https://www.crunchbase.com/organization/risk-ledger,"Cyber Security, Network Security, Risk Management, Security, Supply Chain Management","London, England, United Kingdom",European Union (EU),2018-04-22,day,,,2018-03-01,15000,GBP,20662,Undisclosed,15000,GBP,20662,,"CyLon, Episode 1",2
Trivalent,https://www.crunchbase.com/organization/cyber-reliant-corp,"Commercial, SaaS, Security","Annapolis, Maryland, United States","Greater Baltimore-Maryland Area, East Coast, Southern US",2010-01-01,year,,,2017-08-18,1036675,USD,1036675,Venture - Series Unknown,1036675,USD,1036675,,,
Peerio,https://www.crunchbase.com/organization/peerio,Security,"Montréal, Quebec, Canada",,2014-01-01,year,2019-01-13,day,2017-11-30,1325000,USD,1325000,Seed,1325000,USD,1325000,M&A,"InnoStart Capital, Real Ventures",2
Getmeins,https://www.crunchbase.com/organization/getmeins,"Cyber Security, Finance, Fraud Detection, Insurance, Intelligent Systems, Point of Sale, Security","Netanya, HaMerkaz, Israel",,2014-09-07,day,,,2017-10-01,400000,USD,400000,Seed,400000,USD,400000,Seed,,
Halon Security,https://www.crunchbase.com/organization/halon-security,"Cloud Security, Cyber Security, Information Technology, Internet, Network Security, Security, Software","Göteborg, Vastra Gotaland, Sweden","European Union (EU), Nordic Countries, Scandinavia",1999-01-01,year,,,2018-03-08,15000000,SEK,1813712,Venture - Series Unknown,15000000,SEK,1813712,,"Almi Invest, Chalmers Innovation, Leif Kristensson",3
Sixgen,https://www.crunchbase.com/organization/sixgen,"Commercial, Cyber Security, Training","Baltimore, Maryland, United States","Greater Baltimore-Maryland Area, East Coast, Southern US",2014-01-01,year,,,2017-09-27,500000,USD,500000,Seed,500000,USD,500000,Seed,,
Corrata,https://www.crunchbase.com/organization/corrata,"Apps, Enterprise, Information Technology, Mobile, Risk Management, Security","Dublin, Dublin, Ireland",European Union (EU),2014-01-01,year,,,2018-05-14,1300000,EUR,1551062,Venture - Series Unknown,1300000,EUR,1551062,,Delta Partners,1
Simtek,https://www.crunchbase.com/organization/simtek-2,"Consumer Electronics, Hardware, Internet of Things, Security, Software","Mountain View, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2016-12-28,day,,,2018-01-01,500000,USD,500000,Convertible Note,,,,,"Brady Simpson, Charlie Cheever, GE32 Capital, Graph Ventures",4
Anryze,https://www.crunchbase.com/organization/anryze,"Analytics, Artificial Intelligence, Biometrics, Facial Recognition, Fraud Detection, Image Recognition, Machine Learning, Security, Speech Recognition","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",2017-01-01,day,,,2017-10-12,1700000,USD,1700000,Initial Coin Offering,1700000,USD,1700000,,,
WitFoo,https://www.crunchbase.com/organization/witfoo,"Computer, Cyber Security, Internet, Network Security","Atlanta, Georgia, United States","Greater Atlanta Area, East Coast, Southern US",2016-02-05,day,,,2018-03-03,126840,USD,126840,Equity Crowdfunding,126840,USD,126840,,"Kartheek Pulavarthi, StartEngine",2
AlloVoisins,https://www.crunchbase.com/organization/allovoisins,"Computer, Network Security, Rental","Rezé, Pays de la Loire, France",European Union (EU),2013-01-01,year,,,2018-02-08,3000000,EUR,3678251,Venture - Series Unknown,3000000,EUR,3678251,,"RTL Group, Verdoso Media",2
NUTS Technologies Inc.,https://www.crunchbase.com/organization/nuts-technologies,"Cyber Security, Information Technology, Privacy, Security","Glencoe, Illinois, United States","Greater Chicago Area, Great Lakes, Midwestern US",2016-01-01,year,,,2018-04-16,2300000,USD,2300000,Seed,2300000,USD,2300000,Seed,,
Ticto,https://www.crunchbase.com/organization/ticto,"Cyber Security, Information Services, Information Technology, Network Security, Security","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2014-01-01,day,,,2017-12-08,1700000,EUR,1999880,Series A,1700000,EUR,1999880,Early Stage Venture,"EOS Investment Management, Limburgse Reconversie Maatschappij, The CoFoundry",3
Integrated biometrics,https://www.crunchbase.com/organization/integrated-biometrics,"Homeland Security, Identity Management","Spartanburg, South Carolina, United States","East Coast, Southern US",2002-01-01,year,,,2017-11-27,2000000,USD,2000000,Venture - Series Unknown,2000000,USD,2000000,,,
Flexera,https://www.crunchbase.com/organization/flexera-software,"Apps, Enterprise, Information Technology, Security, Software","Itasca, Illinois, United States","Greater Chicago Area, Great Lakes, Midwestern US",2008-04-01,day,2017-09-19,day,2017-12-19,,,,Private Equity,,,,M&A,TA Associates,1
Cyberus Labs,https://www.crunchbase.com/organization/cyberus-labs,"Cyber Security, Information Technology, Security","Kraków, Malopolskie, Poland",European Union (EU),2015-01-01,year,,,2018-06-01,2827625,EUR,3299407,Grant,,,,,"EASME - EU Executive Agency for SMEs, Startupbootcamp",2
RapidID,https://www.crunchbase.com/organization/rapidid,"Artificial Intelligence, Biometrics, Identity Management, Information Technology, Internet, Machine Learning","Brisbane, Queensland, Australia","Asia-Pacific (APAC), Australasia",2015-07-01,day,,,2017-07-01,1000000,AUD,768900,Seed,1000000,AUD,768900,Seed,,
PhishLabs,https://www.crunchbase.com/organization/phishlabs,"Security, Software","Charleston, South Carolina, United States","East Coast, Southern US",2008-10-01,day,,,2018-05-11,20500000,USD,20500000,Venture - Series Unknown,20500000,USD,20500000,,"Anthony Prince, Fulcrum Equity Partners",2
BitCAD,https://www.crunchbase.com/organization/bitcad,"Biometrics, Cryptocurrency, FinTech, Security","Walnut, California, United States","Greater Los Angeles Area, West Coast, Western US",2015-12-02,day,,,2018-01-19,,,,Seed,,,,Seed,,
Avatao,https://www.crunchbase.com/organization/avatao-com,"Cyber Security, E-Learning, Software Engineering, Training","Budapest, Budapest, Hungary",European Union (EU),2014-07-08,day,,,2017-09-01,200000,USD,200000,Seed,200000,USD,200000,Seed,"FastVentures, Microsec",2
bron.tech,https://www.crunchbase.com/organization/brontech,"Blockchain, Cryptocurrency, Identity Management, Information Technology, Internet, Software Engineering","Sydney, New South Wales, Australia","Asia-Pacific (APAC), Australasia",2016-07-01,day,,,2018-01-31,66660,AUD,53724,Seed,66660,AUD,53724,Seed,"Artesian VC, BlueChilli, muru-D, Ookami Ltd",4
IMNA Solutions,https://www.crunchbase.com/organization/imna-solutions,"Call Center, Health Care, Mobile, Predictive Analytics, Security, Telecommunications","Ra'anana, HaMerkaz, Israel",,2014-04-10,day,,,2017-08-01,500000,USD,500000,Seed,500000,USD,500000,Seed,,
HiveTracker,https://www.crunchbase.com/organization/hivetracker,"Identity Management, Logistics, Supply Chain Management","Nyon, Vaud, Switzerland",,2018-01-01,month,,,2018-04-03,500000,EUR,613948,Seed,500000,EUR,613948,Seed,"Plug and Play, Startup Braga",2
Corsha,https://www.crunchbase.com/organization/corsha,"Cyber Security, Identity Management, IT Infrastructure, Security, Software","Vienna, Virginia, United States","Washington DC Metro Area, East Coast, Southern US",2017-06-01,month,,,2018-01-01,1000000,USD,1000000,Seed,1000000,USD,1000000,Seed,"Center for Innovative Technology, David Nadwodny, Foundation Capital, TDI Ventures, LLC",4
Capy Inc.,https://www.crunchbase.com/organization/capy-inc,"Big Data, Computer, Network Security, Security","Tokyo, Tokyo, Japan",Asia-Pacific (APAC),2012-10-22,day,,,2017-09-01,2300000,USD,2300000,Series B,2300000,USD,2300000,Early Stage Venture,"500 Startups, JAFCO Japan, Microsoft ScaleUp Tel Aviv, Mitsubishi UFJ Capital, Mitsui Sumitomo Insuarance Venture Capital",6
IDnow,https://www.crunchbase.com/organization/idnow,"Identity Management, Information Technology, Internet","München, Bayern, Germany",European Union (EU),2014-01-01,year,,,2018-05-17,,,,Series B,,,,Early Stage Venture,"10x Group, BayBG, Seventure Partners, YoungBrains",4
CryptoMove,https://www.crunchbase.com/organization/cryptomove,"Blockchain, Cloud Security, Cyber Security, Data Storage, Database, Enterprise Software, Internet of Things, Security, Software","Oakland, California, United States","San Francisco Bay Area, West Coast, Western US",2015-01-01,year,,,2018-02-12,6000000,USD,6000000,Series A,6000000,USD,6000000,Early Stage Venture,"Alchemist Accelerator, Draper Associates, Pathbreaker Ventures, Red Dog Capital, Social Capital",8
iXDen,https://www.crunchbase.com/organization/ix-den,"Cyber Security, Internet of Things","Jerusalem, Yerushalayim, Israel",,2017-01-01,year,,,2018-01-15,,,,Convertible Note,100000,USD,100000,Seed,"F2 Capital, The Junction",2
SpotCrowd,https://www.crunchbase.com/organization/spotcrowd,"Information Technology, Security","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",2016-01-01,year,,,2017-09-01,150000,USD,150000,Convertible Note,,,,,"Right Side Capital Management, Techstars, Techstars Retail Accelerator",3
Suvola Corporation,https://www.crunchbase.com/organization/suvola-corporation,"Cyber Security, Enterprise Software, IaaS, Internet of Things, SaaS, Software, Wearables","Cedar Park, Texas, United States",Southern US,2012-10-01,month,,,2018-01-01,945000,USD,945000,Seed,945000,USD,945000,Seed,"Capital Factory, Central Texas Angel Network, NXP Semiconductors",3
PageSeal,https://www.crunchbase.com/organization/pageseal,"Computer, Information Technology, Network Security","Ness Ziona, HaMerkaz, Israel",,2015-01-01,year,,,2017-12-13,1000000,USD,1000000,Venture - Series Unknown,1000000,USD,1000000,,Alon Arbov,1
Detectify,https://www.crunchbase.com/organization/detectify,"Cloud Infrastructure, Security, Web Apps","Stockholm, Stockholms Lan, Sweden","European Union (EU), Nordic Countries, Scandinavia",2012-01-01,year,,,2018-03-16,5000000,EUR,6148133,Series A,5000000,EUR,6148133,Early Stage Venture,"First Fellow Partners, Hannu Turunen, Insight Partners, Inventure, Paua Ventures",9
MyDocSafe,https://www.crunchbase.com/organization/mydocsafe,"Cloud Security, Customer Service, Cyber Security, Document Management, E-Signature, Identity Management, Information Technology, Privacy, Professional Services, Security","Bedford, Bedfordshire, United Kingdom",European Union (EU),2013-01-01,year,,,2017-09-01,125000,GBP,161875,Seed,125000,GBP,161875,Seed,"CyLon, SyndicateRoom",2
VSORA,https://www.crunchbase.com/organization/vsora,"Communications Infrastructure, Network Security, Semiconductor","Vélizy-villacoublay, Ile-de-France, France",European Union (EU),2015-01-01,year,,,2018-01-17,1700000,USD,1700000,Series A,1700000,USD,1700000,Early Stage Venture,"Omnes Capital, Partech",2
"GTop Group, Corp.",https://www.crunchbase.com/organization/gtop-group-corp,"Artificial Intelligence, Asset Management, Homeland Security, Law Enforcement, Market Research, National Security, Predictive Analytics, Public Safety, Risk Management, Security","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",2016-12-06,day,,,2018-06-08,500000,USD,500000,Seed,500000,USD,500000,Seed,,
Giroxx,https://www.crunchbase.com/organization/giroxx,"Banking, Financial Services, Security","Frankfurt, Hessen, Germany",European Union (EU),2015-01-01,year,,,2018-03-14,900000,EUR,1113735,Seed,900000,EUR,1113735,Seed,Hessen Kapital I GmbH,1
LUXLOCK,https://www.crunchbase.com/organization/luxlock,"Artificial Intelligence, Big Data, E-Commerce, Enterprise Software, Identity Management, Machine Learning, PaaS, Retail Technology, Unified Communications","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",2016-10-18,day,,,2017-11-01,98500,USD,98500,Seed,98500,USD,98500,Seed,"Carl Pate, David Kemper",2
SecondWrite,https://www.crunchbase.com/organization/secondwrite-llc,"Enterprise Software, Security","College Park, Maryland, United States","Washington DC Metro Area, East Coast, Southern US",2013-01-01,year,,,2017-08-10,150000,USD,150000,Grant,300000,USD,300000,Seed,"National Science Foundation, TEDCO",2
eSafe Global,https://www.crunchbase.com/organization/esafe-global,"Cyber Security, Education, Software","Salford, Oxfordshire, United Kingdom",European Union (EU),2007-03-19,day,,,2018-01-04,1950000,GBP,2642835,Private Equity,1950000,GBP,2642835,Private Equity,Maven Capital Partners,1
Token,https://www.crunchbase.com/organization/tokenize-inc,"Consumer Electronics, Hardware, Security","Rochester, New York, United States","Great Lakes, East Coast, Northeastern US",2017-01-01,year,,,2018-02-28,5000000,USD,5000000,Series A,5000000,USD,5000000,Early Stage Venture,"Blockchange Ventures, Future Perfect Ventures, New York State, Rochester Institute of Technology, RRE Ventures",8
Hunter2,https://www.crunchbase.com/organization/hunter2,"Computer, Security, Software, Web Apps","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",,,,,2018-01-04,120000,USD,120000,Seed,120000,USD,120000,Seed,Y Combinator,1
ArtChain Global,https://www.crunchbase.com/organization/artchain-global,"Art, Blockchain, Information Technology, Security, Software","Melbourne, Victoria, Australia","Asia-Pacific (APAC), Australasia",2017-01-01,year,,,2018-05-01,4000000,USD,4000000,Seed,4000000,USD,4000000,Seed,,
OPTIMOZ,https://www.crunchbase.com/organization/optimoz,"Cloud Computing, Cloud Infrastructure, Cloud Management, Cloud Security","Bethesda, Maryland, United States","Washington DC Metro Area, East Coast, Southern US",,,,,2018-05-22,2000000,USD,2000000,Series A,2000000,USD,2000000,Early Stage Venture,Global Environment Fund Management,1
Biometrica Systems Inc,https://www.crunchbase.com/organization/biometrica-systems-inc,"Enterprise Software, Information Technology, Security","Las Vegas, Nevada, United States",Western US,2000-01-01,day,,,2017-09-22,102724,USD,102724,Debt Financing,,,,,Lighter Capital,1
Intelligence Fusion,https://www.crunchbase.com/organization/intelligence-fusion,"Analytics, Market Research, Security, Travel","Newton Aycliffe, Durham, United Kingdom",European Union (EU),,,,,2017-12-02,478860,GBP,645198,Equity Crowdfunding,478860,GBP,645198,,"Crowdcube, Growth Capital Ventures",2
Altave,https://www.crunchbase.com/organization/altave,"Aerospace, Security","São José Dos Campos, Sao Paulo, Brazil",,2011-01-01,year,,,2018-03-27,5000000,BRL,1503239,Venture - Series Unknown,5000000,BRL,1503239,,"Bozano Investimentos, Confrapar, Triaxis Capital",3
Boxtrap Security,https://www.crunchbase.com/organization/boxtrap-security,"Artificial Intelligence, Cloud Security, CRM, Cyber Security, Information Technology, Location Based Services, Machine Learning, Network Security","Prague, Hlavni mesto Praha, Czech Republic",European Union (EU),2014-07-29,day,,,2018-03-23,700000,USD,700000,Angel,700000,USD,700000,Seed,,
ExactTrak,https://www.crunchbase.com/organization/exacttrak,"Cyber Security, Intrusion Detection, Security","Warmington, Warwickshire, United Kingdom",European Union (EU),2008-11-30,day,,,2018-04-25,,,,Non-equity Assistance,325000,GBP,447694,Seed,"Lauran Bromley, NCSC Cyber Accelerator, Nick Kingsbury, Pitch@Palace, Simon Thorpe",15
Mofiler,https://www.crunchbase.com/organization/mofiler,"Analytics, Big Data, Developer Tools, Identity Management, Internet of Things, Mobile","Miami, Florida, United States","Greater Miami Area, East Coast, Southern US",2013-12-01,day,,,2018-05-01,275000,USD,275000,Convertible Note,,,,,NXTP Labs,1
Threat X,https://www.crunchbase.com/organization/threat-x,"Cyber Security, Information Technology, Service Industry","Louisville, Colorado, United States","Greater Denver Area, Western US",2014-01-01,year,,,2018-04-04,8200000,USD,8200000,Series A,8200000,USD,8200000,Early Stage Venture,"Access Venture Partners, Crawley Ventures, Grotech Ventures, Service Provider Capital, Stout Street Capital",5
Sentinel Marine Solutions,https://www.crunchbase.com/organization/sentinel-marine-solutions,"Consumer Electronics, Security","Vodnjan, Istarska, Croatia",European Union (EU),2014-01-01,year,,,2017-10-05,1000000,EUR,1171373,Venture - Series Unknown,1000000,EUR,1171373,,South Central Ventures,1
SafetySkills,https://www.crunchbase.com/organization/safetyskills,"Online Portals, Security, Training","Oklahoma City, Oklahoma, United States",Southern US,2007-01-01,year,,,2018-03-02,,,,Debt Financing,542274,USD,542274,,Recurring Capital Partners,1
Integrated Portfolio Solutions,https://www.crunchbase.com/organization/integrated-portfolio-solutions,"Financial Services, Management Information Systems, Security","Sydney, New South Wales, Australia","Asia-Pacific (APAC), Australasia",2010-01-01,year,,,2017-12-04,3000000,AUD,2281094,Series A,3000000,AUD,2281094,Early Stage Venture,Aura Ventures,1
Magnity Electronics,https://www.crunchbase.com/organization/magnity-electronics,"Automotive, Consumer Applications, Manufacturing, Security, Sensor, Virtual Reality","Shanghai, Shanghai, China",Asia-Pacific (APAC),,,,,2018-03-06,7900000,USD,7900000,Series B,7900000,USD,7900000,Early Stage Venture,"COCOCapital, Feitu Kaiyuan, Ferry Venture Capital",3
"Mahalo Technologies, Inc.",https://www.crunchbase.com/organization/mahalo-software,"Banking, Finance, Mobile, Security, Software","Chelsea, Michigan, United States","Great Lakes, Midwestern US",2017-01-01,year,,,2018-02-01,1000000,USD,1000000,Seed,1000000,USD,1000000,Seed,,
DinDin,https://www.crunchbase.com/organization/dindin,"Financial Services, Payments, Security","São Paulo, Sao Paulo, Brazil",,2016-11-29,day,,,2018-03-23,600000,BRL,181192,Equity Crowdfunding,600000,BRL,181192,,EqSeed,1
JolPi Electronics Ltd.,https://www.crunchbase.com/organization/jolpi-electronics,"Electronics, Health Care, Security","Dhaka, Dhaka, Bangladesh",Asia-Pacific (APAC),2016-10-10,day,,,2017-10-01,75000,USD,75000,Angel,75000,USD,75000,Seed,,
Intertech Security,https://www.crunchbase.com/organization/intertech-security-llc,"Cyber Security, Information Technology, Security","Pittsburgh, Pennsylvania, United States","Great Lakes, Northeastern US",,,,,2018-06-14,4930000,USD,4930000,Venture - Series Unknown,4930000,USD,4930000,,,
Security Platform Inc.,https://www.crunchbase.com/organization/security-platform-inc,"Computer, Network Security, Security, Software","Pangyo, Kyonggi-do, South Korea",Asia-Pacific (APAC),2015-07-01,day,,,2017-12-22,2780000,USD,2780000,Series A,2780000,USD,2780000,Early Stage Venture,"Premiere Partners, Softbank Ventures Asia",2
STEC ARMOR BERHAD,https://www.crunchbase.com/organization/stec-armor-berhad,"Automotive, Building Material, Classifieds, Security","Kuala Lumpur, Kuala Lumpur, Malaysia","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",2018-01-05,day,,,2018-03-01,500000,MYR,127502,Seed,500000,MYR,127502,Seed,,
InnoSec,https://www.crunchbase.com/organization/innosec,"Computer, Cyber Security, Information Technology, Manufacturing","Hod Hasharon, HaMerkaz, Israel",,2015-01-01,year,,,2018-04-15,,,,Seed,,,,Seed,EASME - EU Executive Agency for SMEs,1
Smart Screen,https://www.crunchbase.com/organization/smart-screen,"Cloud Security, Compliance, Cyber Security","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",,,,,2017-08-01,100000,USD,100000,Seed,100000,USD,100000,Seed,"Capital Innovators, Quake Capital Partners",2
BITCOMO,https://www.crunchbase.com/organization/bitcomo,"Blockchain, Internet, Network Security","Warsaw, Mazowieckie, Poland",European Union (EU),2017-03-01,day,,,2017-10-28,2349599,USD,2349599,Initial Coin Offering,2349599,USD,2349599,,,
Kevlara,https://www.crunchbase.com/organization/kevlara,"Apps, Security, Transportation","Estado De México, Campeche, Mexico",,2017-09-01,month,,,2018-04-15,800000,USD,800000,Series A,800000,USD,800000,Early Stage Venture,,
QBRICS,https://www.crunchbase.com/organization/qbrics,"Blockchain, Cyber Security, Health Care, Logistics, Quantum Computing","Park City, Utah, United States",Western US,2017-04-03,day,,,2017-09-06,20000,USD,20000,Seed,20000,USD,20000,Seed,"Queen City Fintech, Stacked Capital",2
